2019-08-02 18:54:42,b'United Airlines is the worst I\xe2\x80\x99ve ever seen! Been delayed for 19 hours at DIA. Un-freaking-believable.\xe2\x80\xa6 https://t.co/Ub1xQ7etx3'
2019-08-02 18:19:04,"b'@united My gf and I booked our trips back to my home town for the fourth of July, and because of your delays we spe\xe2\x80\xa6 https://t.co/kNB9sOqFnQ'"
2019-08-02 17:51:59,b'@united #HELP #HELP #HELP Flight 2800 #passengers on #unitedAIRLINES on delayed flights for TWO DAYS'
2019-08-02 17:47:55,b'RT @youngshpro: #AmazingNews @United Airlines has stopped selling tickets to @SeaWorld I applaud #UnitedAirlines for taking this stance aga\xe2\x80\xa6'
2019-08-02 17:38:57,b'Trapped in #airline hell at the #customerdisservice line @united today in Denver.  #unitedairlines does not care ab\xe2\x80\xa6 https://t.co/VErLpe84D7'
2019-08-02 17:14:29,"b'4.5 metric tons of #cocaine in duffel bags. Transported in shipping containers, ""hidden"" under soy beans. I bet if\xe2\x80\xa6 https://t.co/8WJma2uqYd'"
2019-08-02 16:51:20,b'Hello United Airlines please practice truth in marketing by renaming your wifi service #WiTry\n\n@united\n#unitedAIRLINES\n#WiFi\n#United'
2019-08-02 16:44:40,b'RT @UnitedFlyerHD: United B757-200 (N41140) banking left and retracting the gear after departing Houston IAH. \n#avgeek #boeing #boeing757 #\xe2\x80\xa6'
2019-08-02 16:16:59,b'Never fly #United #unitedAIRLINES Worst customer service. Baggage claim on delayed flights take 2hrs?!?!? Do better #United'
2019-08-02 15:46:58,b'RT @UnitedFlyerHD: United B757-200 (N41140) banking left and retracting the gear after departing Houston IAH. \n#avgeek #boeing #boeing757 #\xe2\x80\xa6'
2019-08-02 15:46:03,b'RT @UnitedFlyerHD: United B757-200 (N41140) banking left and retracting the gear after departing Houston IAH. \n#avgeek #boeing #boeing757 #\xe2\x80\xa6'
2019-08-02 15:20:35,b'RT @UnitedFlyerHD: United B757-200 (N41140) banking left and retracting the gear after departing Houston IAH. \n#avgeek #boeing #boeing757 #\xe2\x80\xa6'
2019-08-02 15:09:16,b'Suppose to meet with the Minnesota Department of Agriculture today. Will  #UnitedAirlines prevent that from happening today as well?'
2019-08-02 14:59:18,b'RT @Kika7711: #UnitedAirlines come on!!!! Fix this situation!'
2019-08-02 14:58:43,b'RT @Kika7711: #UnitedAirlines take accountability for your actions!!!! My mother has medical.issues and is told she needs to wait for hours\xe2\x80\xa6'
2019-08-02 14:58:13,b'RT @kamdonf: Lies Lies Lies #unitedAIRLINES where are the thunderstorms? https://t.co/laQRwCwcu4'
